sec_ticker,ticker_source_name,tickersource,pricing_required,exchange_required,base_currency,dest_currency,currency_exchange_cd,multiplying_factor,return_threshold
1306.T,1306.T,FIS,Y,Y,JPY,SGD,JPYSGD,1,0.5
2821.HK,2821.HK,FIS,Y,Y,USD,SGD,USDSGD,1,0.5
BIL.N,BIL.N,FIS,Y,Y,USD,SGD,USDSGD,1,0.5
EIMI.L,EIMI.L,FIS,Y,Y,USD,SGD,USDSGD,1,0.5
ES3.SI,ES3.SI,FIS,Y,N,SGD,SGD,,1,0.5
EWJ.N,EWJ.N,FIS,Y,Y,USD,SGD,USDSGD,1,0.5
EWS.N,EWS.N,FIS,Y,N,USD,SGD,USDSGD,1,0.5
F00000MQNO.MSTA,F00000MQNO.MSTA,FIS,Y,N,SGD,SGD,NULL,1,0.5
F0HKG062UI.MSTA,F0HKG062UI.MSTA,FIS,Y,N,SGD,SGD,,1,0.5
GLD.N,GLD.N,FIS,Y,Y,USD,SGD,USDSGD,1,0.5
IAU.N,IAU.N,FIS,Y,Y,USD,SGD,USDSGD,1,0.5
IBM.N,IBM.N,FIS,N,Y,USD,SGD,USDSGD,1,0.5
IEMB.L,IEMB.L,FIS,Y,Y,USD,SGD,USDSGD,1,0.5
IEML.L,IEML.L,FIS,Y,Y,USD,SGD,USDSGD,1,0.5
IHYG.L,IHYG.L,FIS,Y,Y,EUR,SGD,EURSGD,1,0.5
IHYU.L,IHYU.L,FIS,Y,Y,USD,SGD,USDSGD,1,0.5
IMEU.L,IMEU.L,FIS,Y,Y,GBX,SGD,GBPSGD,0.01,0.5
IPXJ.L,IPXJ.L,FIS,Y,Y,USD,SGD,USDSGD,1,0.5
IUAG.L,IUAG.L,FIS,Y,Y,USD,SGD,USDSGD,1,0.5
IVV.N,IVV.N,FIS,Y,Y,USD,SGD,USDSGD,1,0.5
JNK.N,JNK.N,FIS,Y,Y,USD,SGD,USDSGD,1,0.5
KV4.SI,KV4.SI,FIS,Y,N,SGD,SGD,,1,0.5
LQDE.L,LQDE.L,FIS,Y,Y,USD,SGD,USDSGD,1,0.5
SJPA.L,SJPA.L,FIS,Y,Y,GBX,SGD,GBPSGD,0.01,0.5
SPY.N,SPY.N,FIS,Y,Y,USD,SGD,USDSGD,1,0.5
VAS.AX,VAS.AX,FIS,Y,Y,AUD,SGD,AUDSGD,1,0.5
VEUR.L,VEUR.L,FIS,Y,Y,GBP,SGD,GBPSGD,1,0.5
VUSD.L,VUSD.L,FIS,Y,Y,USD,SGD,USDSGD,1,0.5
XIC.TO,XIC.TO,FIS,Y,Y,CAD,SGD,CADSGD,1,0.5
