ID,ACC_TYPE,AVAIL_BAL,INSERTED_BY,INSERTED_ON,PFOLIO_DET_ID,STATUS,UPDATED_BY,UPDATED_ON,ACC_DET_ID,ITEM_DET_ID,SITE_DET_ID,USER_LOG_ID,AVILB_BAL
1,checking,54.78,1,"2015-12-23 09:16:10",1,NULL,1,"2016-01-11 08:04:13",1,2,3,1,NULL
2,savings,65454.78,1,"2015-12-23 09:16:10",2,NULL,1,"2016-01-11 08:04:13",2,2,3,1,NULL
3,checking,54.78,1,"2015-12-23 09:16:10",3,NULL,1,"2016-01-11 08:04:13",3,4,2,1,NULL
4,savings,65454.78,1,"2015-12-23 09:16:10",4,NULL,1,"2016-01-11 08:04:13",4,4,2,1,NULL
5,unknown,79629,1,"2015-12-23 09:16:10",1,NULL,1,"2016-01-11 08:04:13",5,6,1,1,NULL
6,credit,11756.88,1,"2015-12-23 09:16:10",1,NULL,1,"2016-01-11 08:04:13",6,7,2,1,NULL
7,Other,2000,1,"2015-12-23 09:16:10",1,NULL,1,"2016-01-11 08:04:13",7,8,2,1,NULL
8,unknown,79629,1,"2015-12-23 09:16:10",2,NULL,1,"2016-01-11 08:04:13",8,9,2,1,NULL
9,Mortgage,242129.11,16,"2015-12-23 09:18:08",2,NULL,16,"2016-01-11 10:09:49",9,11,6,16,NULL
10,credit,29775,16,"2015-12-23 09:18:08",2,NULL,16,"2016-01-11 10:09:49",10,13,11,16,NULL
11,HomeEquityLineOfCredit,219474.2,16,"2015-12-23 09:18:08",3,NULL,16,"2016-01-11 10:09:49",11,14,7,16,NULL
12,checking,3052.68,16,"2015-12-23 09:18:08",5,NULL,16,"2016-01-11 10:09:49",12,16,7,16,NULL
13,checking,834,16,"2015-12-23 09:18:08",6,NULL,16,"2016-01-11 10:09:49",13,16,7,16,NULL
14,savings,115.08,16,"2015-12-23 09:18:08",7,NULL,16,"2016-01-11 10:09:49",14,16,7,16,NULL
15,savings,1951.58,16,"2015-12-23 09:18:08",8,NULL,16,"2016-01-11 10:09:49",15,16,7,16,NULL
16,savings,1161.93,16,"2015-12-23 09:18:08",9,NULL,16,"2016-01-11 10:09:49",16,16,7,16,NULL
17,savings,107.69,16,"2015-12-23 09:18:08",10,NULL,16,"2016-01-11 10:09:49",17,16,7,16,NULL
18,checking,4594.54,16,"2015-12-23 09:18:08",11,NULL,16,"2016-01-11 10:09:49",18,16,7,16,NULL
19,checking,1099.27,16,"2015-12-23 09:18:08",12,NULL,16,"2016-01-11 10:09:49",19,16,7,16,NULL
20,checking,505.65,16,"2015-12-23 09:18:08",13,NULL,16,"2016-01-11 10:09:49",20,16,7,16,NULL
21,credit,24523.19,16,"2015-12-23 09:18:08",3,NULL,16,"2016-01-11 10:09:49",21,17,7,16,NULL
22,trust,538528.78,16,"2015-12-23 09:18:08",3,NULL,16,"2016-01-11 10:09:49",22,18,8,16,NULL
23,individual,31674.46,17,"2015-12-23 10:29:37",4,NULL,NULL,NULL,23,19,13,17,NULL
24,charge,NULL,17,"2015-12-23 10:29:37",4,NULL,NULL,NULL,24,20,12,17,NULL
25,charge,4175.2,18,"2015-12-23 12:32:15",5,NULL,18,"2015-12-26 22:32:50",25,23,18,18,NULL
26,credit,0,18,"2015-12-23 12:32:15",6,NULL,18,"2015-12-26 22:32:51",26,23,18,18,NULL
27,rollover,101794.85,18,"2015-12-23 12:32:15",5,NULL,18,"2015-12-26 22:32:52",27,24,15,18,NULL
